ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
12301,CN002553,Miller,Absorbent Cotton,online,Standard, 446.54 
12302,CN002553,Miller,Air Mattresses,online,Standard, 443.22 
12303,CN002553,Miller,Alto & Baritone Horns,online,Standard, 177.82 
12304,CN002553,Miller,Tin Whistles,online,Standard, 626.88 
12305,CN002553,Miller,Tissue Paper,online,Standard, 72.05 
12306,CN002553,Miller,Tom-Toms,online,Standard, 58.74 
12307,CN002553,Miller,Toner & Inkjet Cartridge Refills,online,Standard," 1,831.95 "
12308,CN002553,Miller,Toy Craft Kits,online,Standard, 260.07 
12309,CN002553,Miller,Train Whistles,online,Standard, 256.53 
12310,CN002553,Miller,Trombones,online,Standard, 317.73 
12311,CN002553,Miller,Tubas,online,Standard, 379.08 
12312,CN002553,Miller,TV Converter Boxes,online,Standard, 79.18 
12313,CN002553,Miller,TV Replacement Lamps,online,Standard, 38.82 
12314,CN002553,Miller,TV Replacement Speakers,online,Standard, 487.92 
12315,CN002553,Miller,Unlocked Mobile Phones,online,Standard, 26.11 
12316,CN002553,Miller,UPS Batteries,online,Standard, 475.97 
12317,CN002553,Miller,Violas,online,Standard, 28.80 
